"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NABIL","2023-08-30","596","596","586.2","587.3","-0.46 %","51,037.00"
"NABIL","2023-08-29","592.1","596","588.1","590","-0.02 %","29,237.00"
"NABIL","2023-08-28","596","596","590","590.1","0.02 %","25,988.00"
"NABIL","2023-08-27","592.5","595","589.1","590","-0.42 %","45,941.00"
"NABIL","2023-08-24","595","600","591.1","592.5","-1.09 %","43,106.00"
"NABIL","2023-08-23","594","599.9","592.1","599","0.84 %","29,155.00"
"NABIL","2023-08-22","592","600","590","594","0.42 %","41,686.00"
"NABIL","2023-08-21","590","598.9","585","591.5","-0.07 %","40,222.00"
"NABIL","2023-08-20","595","597","588","591.9","-0.19 %","58,801.00"
"NABIL","2023-08-17","602.5","602.7","592","593","0.17 %","32,425.00"
"NABIL","2023-08-16","599","600","590","592","-1.17 %","53,322.00"
"NABIL","2023-08-15","601","601","596.6","599","-0.63 %","65,912.00"
"NABIL","2023-08-14","591.5","605","591.5","602.8","-0.12 %","43,883.00"
"NABIL","2023-08-13","608","610","600","603.5","-0.49 %","60,137.00"
"NABIL","2023-08-10","604","607.3","602","606.5","0.58 %","47,833.00"
"NABIL","2023-08-09","604","604","594","603","0.50 %","58,335.00"
"NABIL","2023-08-08","610","614","600","600","-1.64 %","58,044.00"
"NABIL","2023-08-07","612","614.9","602","610","-0.33 %","78,727.00"
"NABIL","2023-08-06","625.2","637.7","607","612","-0.16 %","113,739.00"
"NABIL","2023-08-03","618","621","612","613","0.00 %","44,414.00"
"NABIL","2023-08-02","619.9","620","609","613","0.31 %","36,975.00"
"NABIL","2023-08-01","620","621","611","611.1","-0.63 %","41,626.00"
"NABIL","2023-07-31","605","623","605","615","-0.16 %","55,627.00"
"NABIL","2023-07-30","623","623.9","614","616","-0.32 %","79,973.00"
"NABIL","2023-07-27","625","628","616","618","-0.88 %","80,901.00"
"NABIL","2023-07-26","629","629.5","618","623.5","-0.02 %","56,916.00"
"NABIL","2023-07-25","640","640","621","623.6","-2.41 %","103,484.00"
"NABIL","2023-07-24","650","653","636","639","-1.54 %","172,938.00"
"NABIL","2023-07-23","630","649.6","625.2","649","4.01 %","147,953.00"
"NABIL","2023-07-20","620","628.9","620","624","1.17 %","124,603.00"
"NABIL","2023-07-19","619","619","612","616.8","0.62 %","76,090.00"
"NABIL","2023-07-18","620.9","621.6","610","613","0.33 %","76,424.00"
"NABIL","2023-07-17","607","612","598","611","1.97 %","73,868.00"
"NABIL","2023-07-16","595","605.9","590","599.2","1.56 %","73,028.00"
"NABIL","2023-07-13","574.3","597.9","574.3","590","0.68 %","66,352.00"
"NABIL","2023-07-12","585","589.9","585","586","0.51 %","51,194.00"
"NABIL","2023-07-11","584","587","580","583","0.00 %","88,236.00"
"NABIL","2023-07-10","593","593","581","583","0.00 %","88,478.00"
"NABIL","2023-07-09","590","593.6","582","583","0.15 %","79,385.00"
"NABIL","2023-07-06","584","594","580","582.1","-0.09 %","61,889.00"
"NABIL","2023-07-05","574.3","597.1","574.3","582.6","-0.58 %","70,629.00"
"NABIL","2023-07-04","585.1","590","584","586","0.19 %","69,678.00"
"NABIL","2023-07-03","594","594","584","584.9","-1.53 %","111,999.00"
"NABIL","2023-07-02","615","615","591","594","-1.98 %","111,991.00"
"NABIL","2023-06-28","620","633","605","606","-0.48 %","151,880.00"
"NABIL","2023-06-27","593","609.9","587","608.9","3.91 %","184,325.00"
"NABIL","2023-06-26","593","593","585.2","586","-0.17 %","125,517.00"
"NABIL","2023-06-25","594","594","581.5","587","-0.25 %","123,731.00"
"NABIL","2023-06-22","595","597","585.4","588.5","-0.27 %","57,079.00"
"NABIL","2023-06-21","600","600","589.1","590.1","-0.87 %","74,080.00"
"NABIL","2023-06-20","599","603","595","595.3","0.22 %","77,314.00"
"NABIL","2023-06-19","598","605.2","593.1","594","-0.34 %","69,002.00"
"NABIL","2023-06-18","600","601","595.1","596","-0.33 %","77,802.00"
"NABIL","2023-06-15","610","610","596","598","-0.17 %","39,563.00"
"NABIL","2023-06-14","603","604","597","599","0.34 %","117,524.00"
"NABIL","2023-06-13","599.9","601","595","597","0.00 %","67,044.00"
"NABIL","2023-06-12","600","602","595","597","0.51 %","39,241.00"
"NABIL","2023-06-11","585","596.7","585","594","0.52 %","52,568.00"
"NABIL","2023-06-08","590","595","587","590.9","-0.07 %","36,616.00"
"NABIL","2023-06-07","591.7","599","591","591.3","-0.07 %","33,681.00"
"NABIL","2023-06-06","590.1","599","590","591.7","0.12 %","29,785.00"
"NABIL","2023-06-05","599.9","606","591","591","-0.74 %","28,519.00"
"NABIL","2023-06-04","587.8","606.9","587.8","595.4","1.29 %","34,455.00"
"NABIL","2023-06-01","584","590","580","587.8","1.08 %","38,294.00"
"NABIL","2023-05-31","585","592","575.6","581.5","-0.99 %","57,976.00"
"NABIL","2023-05-30","600","602","584","587.3","-2.28 %","76,105.00"
"NABIL","2023-05-28","610","615","600","601","-0.83 %","69,792.00"
"NABIL","2023-05-24","605","613.9","603","606","0.08 %","39,756.00"
"NABIL","2023-05-23","605","607","598","605.5","1.09 %","41,814.00"
"NABIL","2023-05-22","600","601","592","599","0.66 %","27,093.00"
"NABIL","2023-05-21","601","611","595","595.1","0.86 %","45,034.00"
"NABIL","2023-05-18","590","600","590","590","0.00 %","50,008.00"
"NABIL","2023-05-17","590","594","586","590","1.03 %","28,470.00"
"NABIL","2023-05-16","592","592","582","584","0.03 %","37,052.00"
"NABIL","2023-05-15","584","595","583.1","583.8","-0.00 %","34,630.00"
"NABIL","2023-05-14","590","601","583.5","584.9","-0.86 %","52,485.00"
"NABIL","2023-05-11","590","594","589","590","0.00 %","26,707.00"
"NABIL","2023-05-10","600","600","589","590","-0.84 %","59,646.00"
"NABIL","2023-05-09","581.8","612","581.8","595","0.34 %","34,345.00"
"NABIL","2023-05-08","595","595","591","593","-0.34 %","27,670.00"
"NABIL","2023-05-07","600","600","593.1","595","-0.65 %","28,270.00"
"NABIL","2023-05-04","600","600","595","598.9","0.07 %","32,806.00"
"NABIL","2023-05-03","600","600","595","598.5","-0.17 %","22,982.00"
"NABIL","2023-05-02","585.1","608","585.1","599.5","0.42 %","30,177.00"
"NABIL","2023-04-30","605","605","593","597","-0.50 %","54,304.00"
"NABIL","2023-04-27","602","605.5","598","600","-0.66 %","54,508.00"
"NABIL","2023-04-26","607.5","610","603.5","604","-0.25 %","40,984.00"
"NABIL","2023-04-25","606","607","600","605.5","0.08 %","44,615.00"
"NABIL","2023-04-24","610","612","603","605","-0.66 %","35,512.00"
"NABIL","2023-04-23","620","621","607.7","609","-1.77 %","34,734.00"
"NABIL","2023-04-20","608","632","608","620","0.00 %","41,287.00"
"NABIL","2023-04-19","603.7","627","603.7","620","0.65 %","59,588.00"
"NABIL","2023-04-18","604","620","604","616","0.00 %","32,979.00"
"NABIL","2023-04-17","617","625","615","616","-0.16 %","28,045.00"
"NABIL","2023-04-16","618.9","630","613","617","-0.31 %","25,772.00"
"NABIL","2023-04-13","641.5","643.8","610","618.9","-1.61 %","72,785.00"
"NABIL","2023-04-12","603.8","630.9","598","629","6.25 %","86,971.00"
"NABIL","2023-04-11","593.7","593.7","582.1","592","1.70 %","39,186.00"
"NABIL","2023-04-10","580","588","577","582.1","0.36 %","46,442.00"
"NABIL","2023-04-09","590","590","578.1","580","-2.06 %","99,562.00"
"NABIL","2023-04-06","595","600","588","592.2","0.37 %","49,701.00"
"NABIL","2023-04-05","595","595","588","590","0.17 %","39,978.00"
